key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im005320,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",,,0.666072,,,0.694767,0,0,30161,46859,
im005321,main,unspecified,expert,1074,graded,"probabilities to native, bilinear, then thresholded",,,0.747675,,,0.813721,0,0,31518,54069,
im005357,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.729821,,,0.793406,0,0,48584,61491,
im005387,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.758526,,,0.830216,0,0,63672,70420,
im005456,main,unspecified,expert,1070,graded,"probabilities to native, bilinear, then thresholded",,,0.734405,,,0.789729,0,0,40071,67884,
im005457,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.741987,,,0.790850,0,0,44879,63718,
im005488,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.750918,,,0.816954,0,0,77975,96837,
im005489,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.720452,,,0.830057,0,0,70345,99799,
im005523,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",,,0.756188,,,0.840003,0,0,64870,81628,
im005524,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.720404,,,0.827479,0,0,95624,80432,
im005558,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.748301,,,0.827693,0,0,69668,92007,
im005713,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",,,0.758320,,,0.857099,0,0,70205,90789,
im005805,main,unspecified,expert,1071,graded,"probabilities to native, bilinear, then thresholded",,,0.147480,,,0.141865,0,0,61100,102310,
im005806,main,unspecified,expert,1070,graded,"probabilities to native, bilinear, then thresholded",,,0.710151,,,0.802990,0,0,46194,77001,
im005833,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.702019,,,0.767814,0,0,60925,102310,
im005834,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",,,0.756034,,,0.865636,0,0,88496,96642,
im006037,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",,,0.756088,,,0.837056,0,0,55828,67672,
im006105,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.704128,,,0.805429,0,0,64024,88216,
im006106,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.732215,,,0.808129,0,0,68965,94789,
