key,subset,split,native_side,reader,outcome,resampling,disc_dice,disc_centre_offset,disc_centre_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,truth_disc_width,truth_disc_height,truth_disc_radius,note
test_bosch_p19_image1,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.971798,1.909426,0.009145,-5.000000,3.000000,-1.212910,209.000000,204.000000,104.399467,
test_bosch_p19_image1,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.967409,3.758298,0.017912,-6.000000,1.000000,-1.720851,210.000000,206.000000,104.907408,
test_bosch_p19_image1,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.978935,1.303271,0.006190,-3.000000,-8.000000,-2.085837,207.000000,215.000000,105.272394,
test_bosch_p19_image1,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.943646,6.748945,0.031375,-2.000000,-14.000000,-4.366683,206.000000,221.000000,107.553241,
test_bosch_p19_image1,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.968280,4.042567,0.020068,3.000000,6.000000,2.463310,201.000000,201.000000,100.723248,
test_bosch_p19_image2,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, then thresholded",0.975851,1.254779,0.006262,1.000000,3.000000,1.308399,200.000000,201.000000,100.186155,
test_bosch_p19_image2,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, then thresholded",0.967959,1.742612,0.008342,-4.000000,-4.000000,-2.950638,205.000000,208.000000,104.445192,
test_bosch_p19_image2,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, then thresholded",0.970586,1.340579,0.006414,-1.000000,-11.000000,-3.005481,202.000000,215.000000,104.500035,
test_bosch_p19_image2,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, then thresholded",0.947085,8.028463,0.038359,-6.000000,-10.000000,-3.154629,207.000000,214.000000,104.649184,
test_bosch_p19_image2,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, then thresholded",0.950526,6.781776,0.033632,3.000000,0.000000,0.671808,198.000000,204.000000,100.822747,
test_bosch_p20_image1,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.962898,4.589975,0.024107,1.000000,-2.000000,0.775900,186.000000,195.000000,95.199365,
test_bosch_p20_image1,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.968607,1.200098,0.006387,6.000000,-7.000000,2.022876,181.000000,200.000000,93.952389,
test_bosch_p20_image1,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.971720,1.978025,0.010149,0.000000,-11.000000,-1.471236,187.000000,204.000000,97.446501,
test_bosch_p20_image1,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.948524,6.633038,0.033391,-5.000000,-7.000000,-3.349346,192.000000,200.000000,99.324611,
test_bosch_p20_image1,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.945856,0.984775,0.004860,-13.000000,-12.000000,-5.345079,200.000000,205.000000,101.320344,
test_bosch_p20_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.952755,5.858598,0.030628,5.000000,0.000000,2.287422,188.000000,196.000000,95.639704,
test_bosch_p20_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.973192,2.442663,0.012451,6.000000,-10.000000,-0.162389,187.000000,206.000000,98.089515,
test_bosch_p20_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.972803,0.323639,0.001661,7.000000,-8.000000,0.524733,186.000000,204.000000,97.402393,
test_bosch_p20_image2,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.976221,1.005458,0.005053,-2.000000,-4.000000,-1.573590,195.000000,200.000000,99.500716,
test_bosch_p20_image2,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.968452,1.806405,0.009094,3.000000,-12.000000,-1.387870,190.000000,208.000000,99.314996,
test_bosch_p21_image1,bosch,test,1427,expert1,graded,"probabilities to native, bilinear, then thresholded",0.948296,6.328212,0.034130,1.000000,5.000000,1.803913,190.000000,182.000000,92.707525,
test_bosch_p21_image1,bosch,test,1427,expert2,graded,"probabilities to native, bilinear, then thresholded",0.972954,1.379682,0.007209,-4.000000,-8.000000,-1.179838,195.000000,195.000000,95.691277,
test_bosch_p21_image1,bosch,test,1427,expert3,graded,"probabilities to native, bilinear, then thresholded",0.964928,2.192024,0.011370,-2.000000,-13.000000,-1.884112,193.000000,200.000000,96.395551,
test_bosch_p21_image1,bosch,test,1427,expert4,graded,"probabilities to native, bilinear, then thresholded",0.965110,3.064170,0.015937,-5.000000,-4.000000,-1.619579,196.000000,191.000000,96.131018,
test_bosch_p21_image1,bosch,test,1427,expert5,graded,"probabilities to native, bilinear, then thresholded",0.953728,5.240531,0.027135,-4.000000,-4.000000,-2.052373,195.000000,191.000000,96.563812,
test_bosch_p21_image2,bosch,test,1440,expert1,graded,"probabilities to native, bilinear, then thresholded",0.950779,4.869761,0.027053,6.000000,7.000000,3.307855,183.000000,180.000000,90.003713,
test_bosch_p21_image2,bosch,test,1440,expert2,graded,"probabilities to native, bilinear, then thresholded",0.972432,2.426939,0.012747,-9.000000,-2.000000,-1.886126,198.000000,189.000000,95.197693,
test_bosch_p21_image2,bosch,test,1440,expert3,graded,"probabilities to native, bilinear, then thresholded",0.964153,1.676781,0.008722,-7.000000,-7.000000,-2.807861,196.000000,194.000000,96.119428,
test_bosch_p21_image2,bosch,test,1440,expert4,graded,"probabilities to native, bilinear, then thresholded",0.968400,1.447094,0.007882,8.000000,6.000000,1.511490,181.000000,181.000000,91.800078,
test_bosch_p21_image2,bosch,test,1440,expert5,graded,"probabilities to native, bilinear, then thresholded",0.952480,4.586873,0.024098,-8.000000,3.000000,-1.857700,197.000000,184.000000,95.169268,
test_bosch_p22_image1,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, then thresholded",0.956303,3.276247,0.018667,-4.000000,12.000000,2.284511,171.000000,181.000000,87.752793,
test_bosch_p22_image1,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, then thresholded",0.960672,2.483492,0.013604,-12.000000,-1.000000,-1.241178,179.000000,194.000000,91.278482,
test_bosch_p22_image1,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, then thresholded",0.960971,4.215378,0.022808,-5.000000,-4.000000,-2.371025,172.000000,197.000000,92.408329,
test_bosch_p22_image1,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, then thresholded",0.961824,0.959168,0.005183,-12.000000,-1.000000,-2.488067,179.000000,194.000000,92.525372,
test_bosch_p22_image1,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, then thresholded",0.953356,4.394096,0.023702,-2.000000,-10.000000,-2.656486,169.000000,203.000000,92.693790,
test_bosch_p22_image2,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, then thresholded",0.942207,7.483162,0.042296,-3.000000,2.000000,0.846929,168.000000,189.000000,88.462696,
test_bosch_p22_image2,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, then thresholded",0.966022,2.643333,0.014478,-3.000000,-2.000000,-1.979318,168.000000,193.000000,91.288943,
test_bosch_p22_image2,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, then thresholded",0.970406,2.038296,0.011117,-8.000000,0.000000,-2.369012,173.000000,191.000000,91.678637,
test_bosch_p22_image2,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, then thresholded",0.961487,2.670248,0.014415,-13.000000,-2.000000,-3.312023,178.000000,193.000000,92.621648,
test_bosch_p22_image2,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, then thresholded",0.929128,8.821351,0.047570,-7.000000,-9.000000,-3.409917,172.000000,200.000000,92.719542,
test_bosch_p23_image1,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.972260,2.140157,0.009835,4.000000,11.000000,2.438960,212.000000,218.000000,108.800856,
test_bosch_p23_image1,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.970940,2.059162,0.009047,-8.000000,-4.000000,-2.560173,224.000000,233.000000,113.799990,
test_bosch_p23_image1,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.980945,1.593199,0.007036,-2.000000,-6.000000,-1.971259,218.000000,235.000000,113.211075,
test_bosch_p23_image1,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.968064,5.512508,0.024455,1.000000,-3.000000,-1.466850,215.000000,232.000000,112.706666,
test_bosch_p23_image1,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.956794,3.617904,0.015578,-7.000000,-12.000000,-4.883229,223.000000,241.000000,116.123046,
test_bosch_p23_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.961222,5.466263,0.024548,1.000000,4.000000,0.430871,217.000000,227.000000,111.337064,
test_bosch_p23_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.969091,1.393652,0.006147,0.000000,-3.000000,-1.599079,218.000000,234.000000,113.367014,
test_bosch_p23_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.975718,1.433339,0.006262,-1.000000,-8.000000,-2.673579,219.000000,239.000000,114.441515,
test_bosch_p23_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.958461,5.027932,0.021741,-5.000000,-12.000000,-3.862028,223.000000,243.000000,115.629964,
test_bosch_p23_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.951528,3.398817,0.014514,-6.000000,-14.000000,-5.321454,224.000000,245.000000,117.089389,
test_bosch_p24_image1,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.968121,4.482358,0.022107,2.000000,2.000000,0.998257,198.000000,207.000000,101.378447,
test_bosch_p24_image1,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.976803,1.381282,0.006641,-3.000000,-5.000000,-1.622582,203.000000,214.000000,103.999287,
test_bosch_p24_image1,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.968749,1.261096,0.005971,-9.000000,-7.000000,-3.232292,209.000000,216.000000,105.608996,
test_bosch_p24_image1,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.957831,6.635149,0.031793,-3.000000,-10.000000,-1.972443,203.000000,219.000000,104.349148,
test_bosch_p24_image1,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.958698,6.754257,0.033635,0.000000,6.000000,1.971563,200.000000,203.000000,100.405141,
test_bosch_p24_image2,bosch,test,1432,expert1,graded,"probabilities to native, bilinear, then thresholded",0.954703,6.390141,0.030798,-4.000000,-6.000000,-1.640701,202.000000,215.000000,103.741870,
test_bosch_p24_image2,bosch,test,1432,expert2,graded,"probabilities to native, bilinear, then thresholded",0.971872,3.116193,0.014934,-4.000000,-12.000000,-2.228149,202.000000,221.000000,104.329318,
test_bosch_p24_image2,bosch,test,1432,expert3,graded,"probabilities to native, bilinear, then thresholded",0.977179,0.376962,0.001805,-5.000000,-5.000000,-2.313542,203.000000,214.000000,104.414711,
